,id,workAnnotationLabel,annotatedId,title,formatDisplay,format,mainFormat,numFormats,itemMedia,itemFormats,topItemFormats,primaryFormat,description,yearRange,snippets,author,authors,workType,thumbnailUrl,thumbnailIsCulturallySensitive,numItems,numHoldings,onlineUrl,onlineText,languages,austLanguages,firstArticlePublicationName,culturallySensitive,firstAustraliansInd,correctableText,newspaper,abstrct,date,page,numberOfCorrectors,correctedByMe,wordCount,articleType,illustrated
0,53658199,s,s53658199,IN PARLIAMENT. WOMAN'S SUFFRAGE.,Article,,,0,{},{},,Article,,,"[""-past 2 the Women's <em>Suffrage</em> Bill came on in Committee, and hon. members accustomed to speak to appear"", ""IN PARLIAMENT. WOMAN'S <em>SUFFRAGE</em>. The last week of the second session of the fourteenth Parliament""]",,[],newspaper,https://nla.gov.au/nla.news-page4068105-t,False,0,0,,View online,[],{},,False,False,False,"South Australian Register (Adelaide, SA : 1839 - 1900)",The last week of the second session of the fourteenth Parliament was opened by the House of Alterably on Monday afternoon with vain protests again excessive work. Questions,Tuesday 18 December 1894,5,2,False,5131,Article,False
1,202828144,s,s202828144,IN PARLIAMENT WOMAN'S SUFFRAGE.,Article,,,0,{},{},,Article,,,"[""IN PARLIAMENT WOMAN'S <em>SUFFRAGE</em>. The last week of the second session of the fourteenth Parliament"", ""-past 2 the Women's <em>Suffrage</em> Bill same on in Committee, and hon. members accustomed to speak to appear""]",,[],newspaper,https://nla.gov.au/nla.news-page22410037-t,False,0,0,,View online,[],{},,False,False,False,"Evening Journal (Adelaide, SA : 1869 - 1912)",The last week of the second session of the fourteenth Parliament was opened by the House of Assembly on Monday afternoon with this protests against excosaive work. Questions,Tuesday 18 December 1894,4,1,False,5024,Article,False
2,53658169,s,s53658169,FEMALE SUFFRAGE. TO THE EDITOR.,Article,,,0,{},{},,Article,,,"['FEMALE <em>SUFFRAGE</em>. TO THE EDITOR. Sir— Apart from the abundant and weighty objections which are urged', ' against granting female <em>suffrage</em> at all, or at any rate until its working in other countries can be']",,[],newspaper,https://nla.gov.au/nla.news-page4068402-t,False,0,0,,View online,[],{},,False,False,False,"South Australian Register (Adelaide, SA : 1839 - 1900)","Sir—Apart from the abundant and weighty objections which are urged against grating female suffrage at all, or at any rate until it working in other countries can be observed.",Tuesday 18 December 1894,7,1,False,443,Article,False
3,53650252,s,s53650252,WOMAN'S SUFFRAGE. TO THE EDITOR.,Article,,,0,{},{},,Article,,,"["" the executive of the Women's <em>Suffrage</em> League is in honour bound to protect its interests, and is"", ""WOMAN'S <em>SUFFRAGE</em>. TO THE EDITOR. Sir— Major Castine's contemptuous remarks concerning Mr. C. Proud""]",,[],newspaper,https://nla.gov.au/nla.news-page4068340-t,False,0,0,,View online,[],{},,False,False,False,"South Australian Register (Adelaide, SA : 1839 - 1900)",Sir—Major Castine's contemptuous remarks concerning Mr. C. Proud and his letter in the Register of 13th inst. are scarcely in good taste. Mr. Proud being a member of the,Monday 17 December 1894,3,1,False,418,Article,False
4,53659911,s,s53659911,WOMAN'S SUFFRAGE. WELCOME TO MISS SPENCE.,Article,,,0,{},{},,Article,,,"[' political service, so long would social and moral reforms be impos sible. When women reoeived the <em>right</em> to', ' <em>vote</em> then work would only just begin. In order to give proper effect to it they would have to learn']",,[],newspaper,https://nla.gov.au/nla.news-page4068404-t,False,0,0,,View online,[],{},,False,False,False,"South Australian Register (Adelaide, SA : 1839 - 1900)","The large room of the Cafe de Paris was crowded on Monday evening by woman's suffragiste, chiefly ladies, to welcome back frum her travels Miss C. H . Spence. Mrs.",Wednesday 19 December 1894,3,1,False,798,Article,False
5,73203642,s,s73203642,WELCOME TO MISS SPENCE. WOMEN'S SUFFRAGE.,Article,,,0,{},{},,Article,,,"["", at the Cafe de Paris on Mon-day evening when those in favor of women's <em>suffrage</em> gave a hearty welcome"", ""WELCOME TO MISS SPENCE. WOMEN'S <em>SUFFRAGE</em>. There was a large attendance, comprised chiefly of ladies""]",,[],newspaper,https://nla.gov.au/nla.news-page7262067-t,False,0,0,,View online,[],{},,False,False,False,"The Advertiser (Adelaide, SA : 1889 - 1931)","Three was a large attendance, comprised chiefly of ladies, at the Cafe de Paris on Monday evening when those in favor of women's surface gave a hearty welcome to Miss Spence.",Tuesday 18 December 1894,7,2,False,915,Article,False
6,25744868,s,s25744868,WORK IN PARLIAMENT. THE ADULT SUFFRAGE BILL. THE DISCUSSION IN COMMITTEE.,Article,,,0,{},{},,Article,,,"['WORK IN PARLIAMENT. THE ADULT <em>SUFFRAGE</em> BILL. THE DISCUSSION IN COMMITTEE. As. the Adult <em>Suffrage</em>', ' this morning. Work will begin with th? Adult <em>Suffrage</em> BUI. after which come toe hoMi. RailwayCoin']",,[],newspaper,https://nla.gov.au/nla.news-page2317774-t,False,0,0,,View online,[],{},,False,False,False,"The Advertiser (Adelaide, SA : 1889 - 1931)","As. the Adult Suffrage Bill had the first place on the Assembly notice-paper on Monday afternoon there were several Ladies Present When the Speaker took the chair, among them",Tuesday 18 December 1894,5,1,False,2679,Article,False
7,209045524,s,s209045524,THE WOMEN'S SUFFRAGE BILL. Carried in the House. A Majority of 17.,Article,,,0,{},{},,Article,,,"[""THE WOMEN'S <em>SUFFRAGE</em> BILL. Carried in the House. A Majority of 17. The Women's <em>Suffrage</em> Bill was""]",,[],newspaper,https://nla.gov.au/nla.news-page22918492-t,False,0,0,,View online,[],{},,False,False,False,"The Express and Telegraph (Adelaide, SA : 1867 - 1922)",The Women's Suffrage Bill was carried in the House of Assembly this morning by 31 votes to 14 and it was passed amid loud cheering.,Tuesday 18 December 1894,2,1,False,37,Article,False
8,77544447,s,s77544447,"THE ADULT SUFFRAGE BILL. PASSED BY THE ASSEMBLY. [By TELEGRAPH.] ADELAIDE, December 18.",Article,,,0,{},{},,Article,,,"[' <em>Suffrage</em> Bill, whioh allows women to sit in Parliament as well as to vote for the Legislative Council and']",,[],newspaper,https://nla.gov.au/nla.news-page7721805-t,False,0,0,,View online,[],{},,False,False,False,"Border Watch (Mount Gambier, SA : 1861 - 1954)","The Adult Suffrage Bill, which allows women to sit in Parliament as well as to vote for the Legislative Council and the Assembly, was passed this morning at 11.30. The only",Wednesday 19 December 1894,3,0,False,87,Article,False
9,25744741,s,s25744741,WORK IN PARLIAMENT. ANOTHER ALL-NIGHT SITTING. ADULT SUFFRAGE STILL WAITS. THREE MEASURES PASSED.,Article,,,0,{},{},,Article,,,"['WORK IN PARLIAMENT. ANOTHER ALL-NIGHT SITTING. ADULT <em>SUFFRAGE</em> STILL WAITS. THREE MEASURES PASSED', ' objecting to those not accepted were sent up to the Council. The Adult <em>Suffrage</em> Bill was now called on in']",,[],newspaper,https://nla.gov.au/nla.news-page2317765-t,False,0,0,,View online,[],{},,False,False,False,"The Advertiser (Adelaide, SA : 1889 - 1931)","When the record published on Saturday in The Advertiser ceased the Assembly was still debating the item in the resolution, on which the Loan Bill is to be founded, which",Monday 17 December 1894,5,0,False,1524,Article,False
